"","artist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","duration_ms","track_name"
"1591","Ciara",0.805,0.107,10,-21.324,0,0.916,0.426,1.2e-05,0.176,0.722,15826,"The Evolution Of Dance (Interlude)"
"1592","Ciara",0.778,0.747,2,-5.508,1,0.0333,0.00464,2.03e-05,0.0897,0.0495,213360,"Make It Last Forever"
"1593","Ciara",0.656,0.861,4,-6.828,0,0.338,0.00655,0.196,0.315,0.255,184866,"Bang It Up"
"1594","Ciara",0.964,0.595,1,-6.887,0,0.109,0.0248,5.14e-06,0.0405,0.629,261880,"Get Up (feat. Chamillionaire)"
"1595","Ciara",0.725,0.127,4,-22.315,1,0.84,0.134,1.43e-06,0.158,0.519,15706,"The Evolution Of Fashion (Interlude)"
"1596","Ciara",0.908,0.526,7,-6.761,1,0.145,0.0294,0.164,0.128,0.801,253293,"Get In, Fit In"
"1597","Ciara",0.685,0.176,10,-19.553,0,0.874,0.66,0,0.353,0.238,19013,"The Evolution Of C (Interlude)"
"1598","Ciara",0.624,0.519,5,-7.06,0,0.0762,0.162,0,0.0748,0.376,289973,"So Hard"
"1599","Ciara",0.687,0.536,1,-8.736,1,0.0773,0.293,1.52e-05,0.181,0.379,272973,"I'm Just Me"
"1600","Ciara",0.558,0.305,6,-9.787,0,0.0307,0.49,0,0.266,0.36,272626,"I Found Myself"
"1601","Ciara",0.79,0.611,1,-7.934,1,0.102,0.0226,0.00146,0.0804,0.592,185600,"Addicted"
